Timed By,20 Yard Shuttle,100 Meter Dash,Bench: 1-rep max (lbs),Bench x 185 (lbs),Vertical Jump,Standing Broad Jump,Bench x 225 (lbs),Squat (lbs),Power Clean
N/A,4.4,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A
N/A,N/A,N/A,350,N/A,N/A,N/A,11 reps,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,215,12,N/A,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hand,5. 15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,N/A,N/A,N/A
Trainer,4.31,N/A,225,N/A,23,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,10,N/A,"9,0",5,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coach,4.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.65,N/A,215,N/A,32”,N/A,0,N/A,N/A
N/A,N/A,N/A,275,18,N/A,N/A,15,N/A,245
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,33,N/A,7,N/A,N/A
N/A,5,N/A,255,20,8 inches ,N/A,6,N/A,250
N/A,N/A,N/A,235,N/A,N/A,N/A,3,N/A,N/A
N/A,4.4,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,4.87,N/A,280,N/A,N/A,N/A,5,N/A,N/A
N/A,4.7,N/A,225,N/A,28.6,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,1.98,N/A,N/A,N/A,N/A,N/A,4 times ,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.9,N/A,245,N/A,22.5,N/A,N/A,N/A,N/A
N/A,N/A,N/A,255,N/A,N/A,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,225,6,N/A,N/A,2,N/A,225
N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.8,N/A,315,20,24 inches,8 feet 9 inches,14,N/A,240
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,335,N/A,N/A,N/A,18,N/A,N/A
N/A,N/A,N/A,N/A,N/A,34,N/A,12,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,7,N/A,N/A
Coach ,N/A,N/A,225,5,32 inches,N/A,1,N/A,N/A
N/A,4.26,N/A,235,N/A,32,N/A,2,N/A,N/A
N/A,4.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,245,14,30,N/A,5,N/A,250
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,290,20,N/A,N/A,8,N/A,245
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
